stop_id,stop_code,stop_name,stop_desc,zone_id,stop_url,location_type,parent_station,platform_code,stop_timezone,wheelchair_boarding,stop_lon,stop_lat
910GFALKRKH,FKK,Falkirk High,1,,,1,,,Europe/London,2,-3.792238796,55.99180314
910GFELL,FEG,FELLGATE METRO,0,,,1,,,Europe/London,0,-1.4877783871068389,54.95696074821959
910GFRTWLM,FTW,Fort William,1,,,1,,,Europe/London,1,-5.106134421,56.82042348
910GFRWDJN,WSB,Westbury,9,,,1,,,Europe/London,1,-2.199193897,51.26697915
910GGLGC,GLC,Glasgow Central,3,,,1,,,Europe/London,1,-4.257636004,55.85974143
910GGLGQLL,GLQ,Glasgow Queen Street,9,,,1,,,Europe/London,1,-4.250657943,55.86232293
910GGLNEGLS,GLE,Gleneagles,0,,,1,,,Europe/London,1,-3.731158525,56.27483656
910GGLNRTHS,GLT,Glenrothes with Thornton,1,,,1,,,Europe/London,1,-3.143006549,56.16234823
910GGORASTR,GOR,Goring & Streatley,0,,,1,,,Europe/London,1,-1.13304466,51.52149065
910GGRLCHHD,GCH,Garelochhead,0,,,1,,,Europe/London,2,-4.825707052,56.07984842
910GHAGGERS,HGG,Haggerston,0,,,1,,,Europe/London,1,-0.076443,51.539121
910GHAYMRKT,HYM,Haymarket,2,,,1,,,Europe/London,1,-3.218444586,55.945802
910GHEWOMTR,HEW,Heworth,9,,,1,,,Europe/London,1,-1.555768445,54.95156601
910GHIGHBYE,HHY,Highbury & Islington,9,,,1,,,Europe/London,1,-0.1020766012,51.546739948
910GHLNSBRU,HLU,Helensburgh Upper,0,,,1,,,Europe/London,1,-4.729792381,56.01234544
910GHOXTON,HOX,Hoxton,0,,,1,,,Europe/London,1,-0.076746,51.531932
910GHROW,HRW,Harrow & Wealdstone,2,,,1,,,Europe/London,1,-0.3340730185,51.5916203758
910GHTRWAPT,HXX,Heathrow Terminals 2 & 3 (Rail Station Only),1,,,1,,,Europe/London,1,-0.45072,51.47273
910GHTRWTM5,HWV,Heathrow Terminal 5 (Rail Station Only),0,,,1,,,Europe/London,1,-0.4905807301,51.4700565929
910GHUNGRFD,HGD,Hungerford,1,,,1,,,Europe/London,0,-1.512293535,51.41490602
910GIVRKTHG,INK,Inverkeithing,2,,,1,,,Europe/London,1,-3.396186138,56.03466521
